index,Адрес обращения,Дом,Дата,текст обращения,ids,listTextAppealLem,named_labels
67,проспект Тракторостроителей,54,2021-06-06 16:33:17.513,Засыпать торфом вдоль отремонтированных дорожек у домов 54 и 52,10067,"['засыпать', 'торф', 'вдоль', 'отремонтировать', 'дорожка', 'дом', '54', '52']",Need for a road
68,улица Парижской Коммуны,2,2021-06-06 01:20:15.458,дет.площадка для дете постарше,10068,"['дет', 'площадка', 'дет', 'старший']",Playground
69,бульвар Зеленый,10,2021-06-12 09:27:11.961,Обновить детскую площадку во дворе,10069,"['обновлять', 'детский', 'площадка', 'двор']",Need for a road
70,"улица д. Чандрово, ул. Чандровская",71,2021-06-10 22:45:02.219,"Отремонтировать клуб, проложить асфальт по всей дороге и тротуар, аптечный павильон, провести интернет",10070,"['отремонтировать', 'клуб', 'пролагать', 'асфальт', 'весь', 'дорога', 'тротуар', 'аптечный', 'павильон', 'проводить', 'интернет']",General improvement
71,улица Университетская,28,2021-06-08 21:09:51.156,Нужна детская площадка. ,10071,"['нужный', 'детский', 'площадка']",Playground
73,улица Константина Иванова,79/16,2021-06-07 16:09:37.771,сделать ремонт в подъезде в доме давно никто не убирает,10073,"['сделать', 'ремонт', 'подъезд', 'дом', 'давно', 'никто', 'убирать']",Major overhaul
74,улица Космонавта Николаева А.Г.,30 корп. 1,2021-06-14 00:16:31.328,Нужна детская площадка,10074,"['нужный', 'детский', 'площадка']",Playground
75,улица Космонавта Николаева А.Г.,46 корп. 1,2021-06-07 13:38:07.310,Ремонт дорог во дворе,10075,"['ремонт', 'дорогой', 'двор']",Need for a road
76,улица Эльгера,26,2021-06-08 22:15:06.376,Здоровья нашему кандидату и долгих лет жизни,10076,"['здоровье', 'наш', 'кандидат', 'долгий', 'год', 'жизнь']",General improvement
77,улица Декабристов,16,2021-06-05 19:42:59.922,Ремонт дорог во дворе,10077,"['ремонт', 'дорогой', 'двор']",Need for a road
78,улица Красина,10,2021-06-05 11:46:03.069,Благоустройство двора по адресу ул. Красина 10. В стоках с крыши привести порядок возле 2 и 3 подъездов.,10078,"['благоустройство', 'двор', 'адрес', 'ул', 'красин', '10', 'сток', 'крыша', 'приводить', 'порядок', 'возле', '2', '3', 'подъезд']",Need for a road
79,проспект 9-й Пятилетки,24,2021-06-13 01:11:50.541,"Деревья, которые сильно сгибаются, есть вероятность, что при сильном ветре могу упасть на людей. Хотим, чтобы их срезали.",10079,"['дерево', 'который', 'сильно', 'сгибаться', 'вероятность', 'сильный', 'ветер', 'мочь', 'упасть', 'человек', 'хотеть', 'срезать']",General improvement
80,проспект 9-й Пятилетки,24,2021-06-13 01:16:37.128,"Дороги чтобы были без ям во дворах, очень давно не было ремонта. В нашем доме доме был в 2020 году ремонт, откосы не сделаны. По периметру дома хотим, чтобы поставили ограждения, чтобы машины не заезжали.",10080,"['дорога', 'яма', 'двор', 'очень', 'давно', 'ремонт', 'наш', 'дом', 'дом', '2020', 'год', 'ремонт', 'откос', 'сделать', 'периметр', 'дома', 'хотеть', 'поставлять', 'ограждение', 'машина', 'заезжать']",Major overhaul
81,улица К.Либкнехта,46,2021-06-06 22:22:54.864,Построить дорогу по улице Либкнехта.,10081,"['построить', 'дорога', 'улица', 'либкнехт']",Need for a road
82,улица Терешковой,14,2021-06-10 14:38:51.129,"Обработка подвала, очистит вытяжки от голубиных гнезд. Ремонт подъезда. Почему отменили остановку у ""Кристалла""? ",10082,"['обработка', 'подвал', 'очищать', 'вытяжка', 'голубин', 'гнездо', 'ремонт', 'подъезд', 'почему', 'отменять', 'остановка', ' ""', 'кристалл', '""']",Need for a road
83,улица Лебедева,1,2021-06-12 16:19:15.339,Обустроить детскую площадку по адресу улица Лебедева дом 1.,10083,"['обустраивать', 'детский', 'площадка', 'адрес', 'улица', 'лебедев', 'дом', '1']",Playground
84,улица Винокурова,71,2021-06-08 20:53:04.416,Сделать бордюры. Отдельно сделать выгул для собак. Сделать спортивные тренажеры.,10084,"['сделать', 'бордюр', 'отдельно', 'сделать', 'выгул', 'собака', 'сделать', 'спортивный', 'тренажер']",General improvement
85,бульвар Эгерский,16 корп. 1,2021-06-06 21:48:02.034,Принять меры по поводу почернения овощей на дачах,10085,"['принимать', 'мера', 'повод', 'почернение', 'овощ', 'дача']",General improvement
86,улица Эльгера,16,2021-06-14 14:37:10.699,"Ремонт подъезда, стоянка с торца, дорога спуск от 16 дома до шк. 39",10086,"['ремонт', 'подъезд', 'стоянка', 'торец', 'дорога', 'спуск', '16', 'дом', 'шк', '39']",Need for a road
87,улица Чапаева,5,2021-06-08 20:30:53.038,"Хочу чтоб поставили новую детскую площадку между Чапаева д 5 и Чапаева д 5к1,детям негде играть.",10087,"['хотеть', 'поставлять', 'новый', 'детский', 'площадка', 'чапаев', 'д', '5', 'чапаев', 'д', '5к1', 'ребенок', 'негде', 'играть']",General improvement
88,улица Хевешская,9,2021-06-08 18:46:57.747,вдоль гаражей отремонтировать дорогу,10088,"['вдоль', 'гараж', 'отремонтировать', 'дорога']",Need for a road
89,бульвар А.Миттова,41,2021-06-12 10:11:26.678,Сделать косметический ремонт в подъезде и заменить лифты (в ужасном состоянии),10089,"['сделать', 'косметический', 'ремонт', 'подъезд', 'заменять', 'лифт', ' (', 'ужасный', 'состояние']",General improvement
91,улица Ахазова,6,2021-06-12 16:24:59.881,"Ремонт труб, заменить на новые. Площадка для детей. Парковка. Вырубить деревья. ",10091,"['ремонт', 'труба', 'заменять', 'новый', 'площадка', 'ребенок', 'парковка', 'вырубать', 'дерево']",General improvement
92,бульвар Речной,3 корп. 1,2021-06-09 07:04:53.483,"Я предлагаю сделать тротуарную дорожку от Речного бульвара до набережной, т.к. дорога после ""Сокола"" заканчивается со стороны Волги и многие люди идут по дороге где ездят машины",10092,"['предлагать', 'сделать', 'тротуарный', 'дорожка', 'речной', 'бульвар', 'набережная', 'т', 'дорога', ' ""', 'сокол', '"" ', 'заканчиваться', 'сторона', 'волга', 'многий', 'человек', 'идти', 'дорога', 'ездить', 'машина']",General improvement
93,бульвар А.Миттова,25,2021-06-11 11:01:49.485,Прошу установить доп.стоянки для авто около нашего дома,10093,"['просить', 'устанавливать', 'допы', 'стоянка', 'авто', 'около', 'наш', 'дом']",General improvement
94,бульвар Зеленый,7,2021-06-05 22:30:06.791,"В дворе нет места для мусорных контейнеров. контейнеру катаются по двору, нет парковочных мест для машин, не везде подстригаются переросшие деревью, некачественно отремонтированная крыша дома, подъезд весь в подтеках, плесени, и квартира тоже. В подьезде постоянно горит свет, плохо моют подьезд",10094,"['двор', 'место', 'мусорный', 'контейнер', 'контейнер', 'кататься', 'двор', 'парковочный', 'место', 'машина', 'везде', 'подстригаться', 'перерасти', 'деревивать', 'некачественный', 'отремонтировать', 'крыша', 'дом', 'подъезд', 'весь', 'подтек', 'плесень', 'квартира', 'подьезде', 'постоянно', 'гореть', 'свет', 'плохо', 'мыть', 'подьезд']",General improvement
95,улица 10 Пятилетки,13,2021-06-12 07:19:02.615,"Облагородить игровую площадку для детей. поставить дополнительные качели, горки.
Установить скамейки возле подъездов",10095,"['облагораживать', 'игровой', 'площадка', 'ребенок', 'поставлять', 'дополнительный', 'качели', 'горка', 'устанавливать', 'скамейка', 'возле', 'подъезд']",General improvement
96,бульвар Речной,4 корп. 3,2021-06-09 09:32:22.335,"Дороги и пенсия повышения, парковки",10096,"['дорога', 'пенсия', 'повышение', 'парковка']",Need for a road
97,бульвар Гидростроителей,2,2021-06-14 15:12:49.946,"Ремонт подъезда и домофона, поставить урну, плитки возле подъезда развалились",10097,"['ремонт', 'подъезд', 'домофон', 'поставлять', 'урна', 'плитка', 'возле', 'подъезд', 'разваливаться']",General improvement
98,улица Мате Залка,11,2021-06-07 09:12:55.394,Прошу установить площадку для детей по адресу М.Залка 11-178,10098,"['просить', 'устанавливать', 'площадка', 'ребенок', 'адрес', 'м', 'залка', '11', '-', '178']",General improvement
99,проспект Мира,88Б,2021-06-12 17:43:29.150,Благоустройство территории от подземного перехода до нового автовокзала.,10099,"['благоустройство', 'территория', 'подземный', 'переход', 'новый', 'автовокзал']",Need for a road
100,проспект Тракторостроителей,71,2021-06-08 21:21:00.148,"Заняться газонами, ввести штрафы за хождение по ним",10100,"['заниматься', 'газон', 'вводить', 'штраф', 'хождение']",General improvement
101,улица 1-ая Путепроводная,37 корп. А,2021-06-09 02:23:07.866,"Сделать дорогу, провести свет, построить детские площадки",10101,"['сделать', 'дорога', 'проводить', 'свет', 'построить', 'детский', 'площадка']",Need for a road
102,проспект Тракторостроителей,5,2021-06-07 00:20:01.278,"Шум возле кафе ""Парковка""",10102,"['шум', 'возле', 'кафе', ' ""', 'парковка']",Parking
103,улица Комсомольская,22,2021-06-14 12:13:08.815,"Своевременно делать капремонт в домах, контроль за проведением капремонтов ",10103,"['своевременно', 'делать', 'капремонт', 'дом', 'контроль', 'проведение', 'капремонт']",Major overhaul
104,улица Пролетарская,5,2021-06-07 21:49:23.020,Обустроить детскую площадку. Асфальтировать дорогу во дворе.,10104,"['обустраивать', 'детский', 'площадка', 'асфальтировать', 'дорога', 'двор']",General improvement
105,улица Пролетарская,5,2021-06-05 22:34:18.284,Обустроить детскую площадку. Асфальтировать дорогу во дворе.,10105,"['обустраивать', 'детский', 'площадка', 'асфальтировать', 'дорога', 'двор']",General improvement
106,улица Кадыкова,11,2021-06-08 20:24:47.403,Сделать дорогу,10106,"['сделать', 'дорога']",Need for a road
107,улица Винокурова,33,2021-06-06 20:55:27.271,"1. В подъезде воняет, просьба устранить неприятный запах из подвала подъезда 4.
2. Отремонтировать дорогу во дворе дома",10107,"['1', 'подъезд', 'вонять', 'просьба', 'устранять', 'неприятный', 'запах', 'подвал', 'подъезд', '4', '2', 'отремонтировать', 'дорога', 'двор', 'дом']",Major overhaul
108,бульвар А.Миттова,27,2021-06-11 09:07:41.893,"Хотелось бы, чтобы рядом с домом был установлен терминал ""Сбербанк""(снять и положить деньги) и ВТБ",10108,"['хотеться', 'рядом', 'дом', 'устанавливать', 'терминал', ' ""', 'сбербанк', '""(', 'снимать', 'полагать', 'деньги', ') ', 'втб']",General improvement
109,проспект Тракторостроителей,67,2021-06-10 01:59:16.044,"Снижение цен на потребительские товары и проезд по городу. Льготы на лекарства, медицинское обслуживание",10109,"['снижение', 'цена', 'потребительский', 'товар', 'проезд', 'город', 'льгота', 'лекарство', 'медицинский', 'обслуживание']",General improvement
110,улица Композитора Максимова,2,2021-06-10 15:00:11.875,"дорги по аллее, вокруг дома",10110,"['дорги', 'аллея', 'вокруг', 'дом']",Need for a road
111,бульвар Юности,19,2021-06-08 19:25:47.428,"Дорога плохая возле дома, требует ремонта. Освещение по аллее ",10111,"['дорога', 'плохой', 'возле', 'дом', 'требовать', 'ремонт', 'освещение', 'аллея']",Need for a road
112,улица 10 Пятилетки,46,2021-06-09 23:29:14.080,"Благоустройство 10-й Пятилетки. Установите дорожный знак ""Остановка запрещена"" на повороте с ул. 10-й Пятилетки к магазину ""Синешубашкар""",10112,"['благоустройство', '10', '-', 'й', 'пятилетка', 'устанавливать', 'дорожный', 'знак', ' ""', 'остановка', 'запрещать', '"" ', 'поворот', 'ул', '10', '-', 'й', 'пятилетка', 'магазин', ' ""', 'синешубашкар']",General improvement
113,проспект Мира,37,2021-06-08 21:27:38.595,"убрать строительный мусор у д 37 по пр.мира , обгородить двор, построить детскую площадку ",10113,"['убирать', 'строительный', 'мусор', 'д', '37', 'пр', 'мир', ' , ', 'обгораживать', 'двор', 'построить', 'детский', 'площадка']",Need for a road
114,улица Космонавта Николаева А.Г.,40 корп. 1,2021-06-07 15:41:24.289,"Детская площадка
Лежачий ""Полицейский"" при въезде",10114,"['детский', 'площадка', 'лежачий', ' ""', 'полицейский', '"" ', 'въезд']",Playground
115,улица Воинов интернационалистов,11,2021-06-05 15:08:04.717,Сделать почтовые ящики,10115,"['сделать', 'почтовый', 'ящик']",Playground
116,проезд Энергетиков,12,2021-06-14 16:06:56.103,Ремонт дорог,10116,"['ремонт', 'дорогой']",Need for a road
117,улица Ахазова,1,2021-06-06 21:33:37.795,"Отремонтировать крышу, поменять лифт. ",10117,"['отремонтировать', 'крыша', 'поменять', 'лифт']",Major overhaul
118,бульвар Эгерский,6 корп. 1,2021-06-06 22:05:10.788,Ремонт в подъезде,10118,"['ремонт', 'подъезд']",Major overhaul
119,улица Мичмана Павлова,66,2021-06-15 16:54:59.033,Парковочные места во дворе М.Павлова. в школе 48 обновить срочно входные двери и окна и классы,10119,"['парковочный', 'место', 'двор', 'м', 'павлов', 'школа', '48', 'обновлять', 'срочно', 'входной', 'дверь', 'окно', 'класс']",Need for a road
120,бульвар Эгерский,6 корп. 1,2021-06-06 22:11:53.542,Повышении пенсии работающим пенсионерам,10120,"['повышение', 'пенсия', 'работать', 'пенсионер']",General improvement
121,проспект Мира,90,2021-06-09 11:21:43.100,"Прошу вас поменять на этажах окна,на 1 этаже поменять коммунальную трубу.",10121,"['просить', 'поменять', 'этаж', 'окно', '1', 'этаж', 'поменять', 'коммунальный', 'труба']",General improvement
