"id","text_appeal","adress","home","text_appeal_lem","type","lat","lng","created_at","updated_at"
"10025","больше внимания пенсионерам, и помогали отремонтировать их квартиры","улица Энтузиастов","15","""['внимание', 'пенсионер', 'помогать', 'отремонтировать', 'квартира']""","Need for a road","56.124087","47.194749","2021-10-30 11:06:19","2021-10-30 20:44:23"
"10026","хочу астелить окно , тк лицевая сторона. уже был раговор.

сделать тратуар","проспект Ленина","56","""['хотеть', 'астилать', 'окно', ' , ', 'тк', 'лицевой', 'сторона', 'раговор', 'сделать', 'тратуар']""","Need for a road","56.112348","47.260113","2021-10-30 11:06:19","2021-10-30 20:44:23"
"10027","Ухоженные площадки, хорошие дороги, летом - благоустроенные дворы, зимой - каток или хоккейная площадка для детей","бульвар Юго-Западный","10","""['ухоженный', 'площадка', 'хороший', 'дорога', 'лето', ' - ', 'благоустроенный', 'двор', 'зима', ' - ', 'каток', 'хоккейный', 'площадка', 'ребенок']""","Need for a road","56.118138","47.187291","2021-10-30 11:06:19","2021-10-30 20:44:23"
"10028","Отремонтировать клуб, сделать нормальную асфальтированную дорогу и тротуар, поставить аптечный пункт","улица д. Чандрово, ул. Чандровская","102","""['отремонтировать', 'клуб', 'сделать', 'нормальный', 'асфальтировать', 'дорога', 'тротуар', 'поставлять', 'аптечный', 'пункт']""","General improvement",NULL,NULL,"2021-10-30 11:06:19","2021-10-30 20:44:23"
"10029","Асфальтированный тротуар от 1-9 дома 
Детская площадка
Разводка воды","переулок Молодежный","3","""['асфальтировать', 'тротуар', '1', '-', '9', 'дом', ' \\n', 'детский', 'площадка', 'разводка', 'вода']""","General improvement","56.135305","47.277378","2021-10-30 11:06:19","2021-10-30 20:44:23"
"10030","Посадить кустарники","улица Комсомольская","22","""['посадить', 'кустарник']""","General improvement","56.069098","47.222927","2021-10-30 11:06:19","2021-10-30 20:44:23"
"10031","хорошие з/п и пенсию","проспект Мира","23","""['хороший', 'з', '/', 'п', 'пенсия']""","General improvement","56.107336","47.265670","2021-10-30 11:06:19","2021-10-30 20:44:23"
"10032","ремонт подьездов, дорог","проспект Мира","23","""['ремонт', 'подьезд', 'дорога']""","Major overhaul","56.107336","47.265670","2021-10-30 11:06:19","2021-10-30 20:44:23"
"10033","Навести порядок со стороны Советской 77 (стоматология). Всегда грязно, нет тротуаров! Нет дороги к остановке.","улица Советская","73","""['навещать', 'порядок', 'сторона', 'советский', '77', ' (', 'стоматология', ')', 'грязно', 'тротуар', '! ', 'дорога', 'остановка']""","Need for a road",NULL,NULL,"2021-10-30 11:06:19","2021-10-30 20:44:23"
"10034","Ремонт  подъезда по улице Эльгера дом 16.","улица Эльгера","16","""['ремонт', 'подъезд', 'улица', 'эльгер', 'дом', '16']""","Major overhaul","56.143857","47.180553","2021-10-30 11:06:19","2021-10-30 20:44:23"
"10035","Прошу принять меры в отношении жильцов нашего дома, т.к. выбрасывают мусор прямо из окон квартир верхних этажей. Вокруг дома полное антисанитария, просим принят меры за бездействие к УК. В зимнее время гололед, сосульки не огораживают, уборка подъезда очень редко.","улица Коммунистическая","24","""['просить', 'принимать', 'мера', 'отношение', 'жилец', 'наш', 'дом', 'т', 'выбрасывать', 'мусор', 'прямо', 'окно', 'квартира', 'верхний', 'этаж', 'вокруг', 'дом', 'полный', 'антисанитария', 'просить', 'принимать', 'мера', 'бездействие', 'ук', 'зимний', 'время', 'гололед', 'сосулька', 'огораживать', 'уборка', 'подъезд', 'очень', 'редко']""","General improvement",NULL,NULL,"2021-10-30 11:06:19","2021-10-30 20:44:23"
"10036","дет.площадку","улица Яноушека","1","""['дет', 'площадка']""","Playground","56.122208","47.198714","2021-10-30 11:06:19","2021-10-30 20:44:23"
"10037","парк, заменить покрытие дет.площадки, увеличить парковку","улица П.В.Дементьева","18 корп. 3","""['парк', 'заменять', 'покрытие', 'дет', 'площадка', 'увеличивать', 'парковка']""","Playground",NULL,NULL,"2021-10-30 11:06:19","2021-10-30 20:44:23"
"10038","Срубить старые деревья!
Чтобы парковка была не рядом с детской площадкой!
Установить видеонаблюдение!","улица Ленинского Комсомола","24 корп. 2","""['срубать', 'старый', 'дерево', '!', 'парковка', 'рядом', 'детский', 'площадка', '!', 'устанавливать', 'видеонаблюдение', '!']""","General improvement",NULL,NULL,"2021-10-30 11:06:19","2021-10-30 20:44:23"
"10039","сделать ремонт дорог вокруг домов 1к1 1к2 1к3 по энгельса","улица Энгельса","1 корп. 2","""['сделать', 'ремонт', 'дорога', 'вокруг', 'дом', '1к1', '1к2', '1к3', 'энгельс']""","Need for a road",NULL,NULL,"2021-10-30 11:06:19","2021-10-30 20:44:23"
"10040","Парковка","проспект Тракторостроителей","45","""['парковка']""","Parking","56.102982","47.307225","2021-10-30 11:06:19","2021-10-30 20:44:23"
"10041","Поменять на этажах балконные двери, поставить пластиковые окна,домофон.","проспект Мира","90","""['поменять', 'этаж', 'балконный', 'дверь', 'поставлять', 'пластиковый', 'окно', 'домофон']""","Need for a road","56.109371","47.265923","2021-10-30 11:06:19","2021-10-30 20:44:23"
"10042","Благоустроить детскую площадку, дополнить детскими качелями, тренажёрами.","улица Шумилова","12 корп. 1","""['благоустраивать', 'детский', 'площадка', 'дополнять', 'детский', 'качели', 'тренажер']""","Playground",NULL,NULL,"2021-10-30 11:06:19","2021-10-30 20:44:23"
"10043","Починить тротуар во дворе, сделать тротуар, жэк не реагирует, нужно поменять окна в подъезде.
Не убирают падающее дерево во дворе, ждут пока оно упадет на машину.
Вертикаль не реагирует на заявку
Отремонтировать дорогу в сторону кладбища, вдоль завода, невозможно проехать","улица Чернышевского","6","""['починять', 'тротуар', 'двор', 'сделать', 'тротуар', 'жэк', 'реагировать', 'нужно', 'поменять', 'окно', 'подъезд', 'убирать', 'падать', 'дерево', 'двор', 'ждать', 'пока', 'оно', 'упасть', 'машина', 'вертикаль', 'реагировать', 'заявка', 'отремонтировать', 'дорога', 'сторона', 'кладбище', 'вдоль', 'завод', 'невозможно', 'проехать']""","Need for a road","56.114806","47.181051","2021-10-30 11:06:19","2021-10-30 20:44:23"
"10044","Перенос проезжей части ближе к соседнему дому","проспект 9-й Пятилетки","30","""['перенос', 'проезжий', 'часть', 'близко', 'соседний', 'дом']""","General improvement","56.095295","47.284423","2021-10-30 11:06:19","2021-10-30 20:44:23"
"10045","-","улица Терешковой","6","""[]""",NULL,NULL,NULL,"2021-10-30 11:06:19","2021-10-30 11:06:19"
"10046","Просим установить лежачий полицейский и детскую площадку","улица Терешковой","17","""['просить', 'устанавливать', 'лежачий', 'полицейский', 'детский', 'площадка']""","Playground",NULL,NULL,"2021-10-30 11:06:19","2021-10-30 20:44:23"
"10047","Благоустройство территории
Детская площадка","улица Космонавта Николаева А.Г.","48","""['благоустройство', 'территория', 'детский', 'площадка']""","General improvement","56.131272","47.284717","2021-10-30 11:06:19","2021-10-30 20:44:23"
"10048","Ремонт подъезда
Ремонт дорог","улица 50 лет Октября","4","""['ремонт', 'подъезд', 'ремонт', 'дорогой']""","Major overhaul","56.129707","47.273021","2021-10-30 11:06:19","2021-10-30 20:44:23"
"10049","Проложить асфальтовую дорогу. Навести порядок на контейнерной площадке.","улица К.Либкнехта","13","""['пролагать', 'асфальтовый', 'дорога', 'навещать', 'порядок', 'контейнерный', 'площадка']""","General improvement",NULL,NULL,"2021-10-30 11:06:19","2021-10-30 20:44:23"
"10050","Поменять коммуникационный стояк. ","улица Эльгера","26","""['поменять', 'коммуникационный', 'стояк']""","Need for a road","56.146251","47.180941","2021-10-30 11:06:19","2021-10-30 20:44:23"
"10051","Жалоб нет","улица И.П.Прокопьева","16","""['жалоба']""","General improvement","56.130031","47.389046","2021-10-30 11:06:19","2021-10-30 20:44:23"
"10052","Просьба помощи в оформлении земельных участков. Деньги юристам уплачены, но администрация не дает добро","улица 1-ая Путепроводная","245","""['просьба', 'помощь', 'оформление', 'земельный', 'участок', 'деньги', 'юрист', 'уплачивать', 'администрация', 'давать', 'добро']""","General improvement",NULL,NULL,"2021-10-30 11:06:19","2021-10-30 20:44:23"
"10053","Ремонт тротуара
Ремонт крыльца","улица Гагарина Ю.","30","""['ремонт', 'тротуар', 'ремонт', 'крыльцо']""","Major overhaul","56.126445","47.270251","2021-10-30 11:06:19","2021-10-30 20:44:23"
"10054","Дезинфекция тараканов, клопов, ремонт подъездов","улица Терешковой","12","""['дезинфекция', 'таракан', 'клоп', 'ремонт', 'подъезд']""","Major overhaul",NULL,NULL,"2021-10-30 11:06:19","2021-10-30 20:44:23"
"10055","Уменьшить пенсионный возраст, увеличить размер минимальной зарплаты","улица Солнечная","26","""['уменьшать', 'пенсионный', 'возраст', 'увеличивать', 'размер', 'минимальный', 'зарплата']""","General improvement","56.099721","47.218527","2021-10-30 11:06:19","2021-10-30 20:44:23"
"10056","Сделать дорогу, ремонт лифтов и подъездов","бульвар Гидростроителей","2","""['сделать', 'дорога', 'ремонт', 'лифт', 'подъезд']""","Major overhaul",NULL,NULL,"2021-10-30 11:06:19","2021-10-30 20:44:23"
"10057","Капитальный ремонт в подъезде","улица Текстильщиков","12","""['капитальный', 'ремонт', 'подъезд']""","Major overhaul","56.143759","47.272706","2021-10-30 11:06:19","2021-10-30 20:44:23"
"10058","Сделать ремонт придомовой дороги по ул. Чернышевского 26","улица Чернышевского","26","""['сделать', 'ремонт', 'придомовый', 'дорога', 'ул', 'чернышевский', '26']""","General improvement","56.119715","47.175271","2021-10-30 11:06:19","2021-10-30 20:44:23"
"10059","МАФ","улица Коммунистическая","26","""['маф']""","Major overhaul",NULL,NULL,"2021-10-30 11:06:19","2021-10-30 20:44:23"
"10060","-","улица 50 лет Октября","17","""[]""",NULL,"56.126532","47.276722","2021-10-30 11:06:19","2021-10-30 12:15:47"
"10061","Обновить детскую площадку","улица Николая Гастелло","9","""['обновлять', 'детский', 'площадка']""","Playground","56.107765","47.315256","2021-10-30 11:06:19","2021-10-30 20:44:23"
"10062","Установить детскую площадку","улица Богдана Хмельницкого","37","""['устанавливать', 'детский', 'площадка']""","General improvement","56.128652","47.233128","2021-10-30 11:06:19","2021-10-30 20:44:23"
"10063","Парковка
Ремонт в подъезде
Асфальтирование дороги ","проспект Мира","36","""['парковка', 'ремонт', 'подъезд', 'асфальтирование', 'дорога']""","Need for a road","56.122282","47.279558","2021-10-30 11:06:19","2021-10-30 20:44:23"
"10064","Отремонтировать двор до конца.
Засеять газонную траву.
Ликвидировать парковку","улица Коммунистическая","22","""['отремонтировать', 'двор', 'конец', 'засеивать', 'газонный', 'трава', 'ликвидировать', 'парковка']""","General improvement",NULL,NULL,"2021-10-30 11:06:19","2021-10-30 20:44:23"
"10065","Обновить детскую площадку ","улица Эльгера","14","""['обновлять', 'детский', 'площадка']""","Playground","56.143339","47.181552","2021-10-30 11:06:19","2021-10-30 20:44:23"
"10066","не приходят газеты Про город больше месяца","проспект Мира","23","""['приходить', 'газета', 'город', 'месяц']""","General improvement","56.107336","47.265670","2021-10-30 11:06:19","2021-10-30 20:44:23"
"10067","Засыпать торфом вдоль отремонтированных дорожек у домов 54 и 52","проспект Тракторостроителей","54","""['засыпать', 'торф', 'вдоль', 'отремонтировать', 'дорожка', 'дом', '54', '52']""","Need for a road","56.103765","47.315925","2021-10-30 11:06:19","2021-10-30 20:44:23"
"10068","дет.площадка для дете постарше","улица Парижской Коммуны","2","""['дет', 'площадка', 'дет', 'старший']""","Playground","56.125929","47.223667","2021-10-30 11:06:19","2021-10-30 20:44:23"
"10069","Обновить детскую площадку во дворе","бульвар Зеленый","10","""['обновлять', 'детский', 'площадка', 'двор']""","Need for a road",NULL,NULL,"2021-10-30 11:06:19","2021-10-30 20:44:23"
"10070","Отремонтировать клуб, проложить асфальт по всей дороге и тротуар, аптечный павильон, провести интернет","улица д. Чандрово, ул. Чандровская","71","""['отремонтировать', 'клуб', 'пролагать', 'асфальт', 'весь', 'дорога', 'тротуар', 'аптечный', 'павильон', 'проводить', 'интернет']""","General improvement",NULL,NULL,"2021-10-30 11:06:19","2021-10-30 20:44:23"
"10071","Нужна детская площадка. ","улица Университетская","28","""['нужный', 'детский', 'площадка']""","Playground","56.139511","47.162790","2021-10-30 11:06:19","2021-10-30 20:44:23"
"10072","-","улица Привосточная","23","""[]""",NULL,"56.130746","47.337965","2021-10-30 11:06:19","2021-10-30 12:17:41"
"10073","сделать ремонт в подъезде в доме давно никто не убирает","улица Константина Иванова","79/16","""['сделать', 'ремонт', 'подъезд', 'дом', 'давно', 'никто', 'убирать']""","Major overhaul","56.149178","47.230966","2021-10-30 11:06:19","2021-10-30 20:44:23"
"10074","Нужна детская площадка","улица Космонавта Николаева А.Г.","30 корп. 1","""['нужный', 'детский', 'площадка']""","Playground",NULL,NULL,"2021-10-30 11:06:19","2021-10-30 20:44:23"
"10075","Ремонт дорог во дворе","улица Космонавта Николаева А.Г.","46 корп. 1","""['ремонт', 'дорогой', 'двор']""","Need for a road",NULL,NULL,"2021-10-30 11:06:19","2021-10-30 20:44:23"
"10076","Здоровья нашему кандидату и долгих лет жизни","улица Эльгера","26","""['здоровье', 'наш', 'кандидат', 'долгий', 'год', 'жизнь']""","General improvement","56.146251","47.180941","2021-10-30 11:06:19","2021-10-30 20:44:23"
"10077","Ремонт дорог во дворе","улица Декабристов","16","""['ремонт', 'дорогой', 'двор']""","Need for a road","56.133937","47.278665","2021-10-30 11:06:19","2021-10-30 20:44:23"
"10078","Благоустройство двора по адресу ул. Красина 10. В стоках с крыши привести порядок возле 2 и 3 подъездов.","улица Красина","10","""['благоустройство', 'двор', 'адрес', 'ул', 'красин', '10', 'сток', 'крыша', 'приводить', 'порядок', 'возле', '2', '3', 'подъезд']""","Need for a road","56.148998","47.223192","2021-10-30 11:06:19","2021-10-30 20:44:23"
"10079","Деревья, которые сильно сгибаются, есть вероятность, что при сильном ветре могу упасть на людей. Хотим, чтобы их срезали.","проспект 9-й Пятилетки","24","""['дерево', 'который', 'сильно', 'сгибаться', 'вероятность', 'сильный', 'ветер', 'мочь', 'упасть', 'человек', 'хотеть', 'срезать']""","General improvement","56.095746","47.279848","2021-10-30 11:06:19","2021-10-30 20:44:23"
"10080","Дороги чтобы были без ям во дворах, очень давно не было ремонта. В нашем доме доме был в 2020 году ремонт, откосы не сделаны. По периметру дома хотим, чтобы поставили ограждения, чтобы машины не заезжали.","проспект 9-й Пятилетки","24","""['дорога', 'яма', 'двор', 'очень', 'давно', 'ремонт', 'наш', 'дом', 'дом', '2020', 'год', 'ремонт', 'откос', 'сделать', 'периметр', 'дома', 'хотеть', 'поставлять', 'ограждение', 'машина', 'заезжать']""","Major overhaul","56.095746","47.279848","2021-10-30 11:06:19","2021-10-30 20:44:23"
"10081","Построить дорогу по улице Либкнехта.","улица К.Либкнехта","46","""['построить', 'дорога', 'улица', 'либкнехт']""","Need for a road",NULL,NULL,"2021-10-30 11:06:19","2021-10-30 20:44:23"
"10082","Обработка подвала, очистит вытяжки от голубиных гнезд. Ремонт подъезда. Почему отменили остановку у ""Кристалла""? ","улица Терешковой","14","""['обработка', 'подвал', 'очищать', 'вытяжка', 'голубин', 'гнездо', 'ремонт', 'подъезд', 'почему', 'отменять', 'остановка', ' \""', 'кристалл', '\""']""","Need for a road",NULL,NULL,"2021-10-30 11:06:19","2021-10-30 20:44:23"
"10083","Обустроить детскую площадку по адресу улица Лебедева дом 1.","улица Лебедева","1","""['обустраивать', 'детский', 'площадка', 'адрес', 'улица', 'лебедев', 'дом', '1']""","Playground","56.148281","47.168277","2021-10-30 11:06:19","2021-10-30 20:44:23"
"10084","Сделать бордюры. Отдельно сделать выгул для собак. Сделать спортивные тренажеры.","улица Винокурова","71","""['сделать', 'бордюр', 'отдельно', 'сделать', 'выгул', 'собака', 'сделать', 'спортивный', 'тренажер']""","General improvement",NULL,NULL,"2021-10-30 11:06:19","2021-10-30 20:44:23"
"10085","Принять меры по поводу почернения овощей на дачах","бульвар Эгерский","16 корп. 1","""['принимать', 'мера', 'повод', 'почернение', 'овощ', 'дача']""","General improvement",NULL,NULL,"2021-10-30 11:06:19","2021-10-30 20:44:23"
"10086","Ремонт подъезда, стоянка с торца, дорога спуск от 16 дома до шк. 39","улица Эльгера","16","""['ремонт', 'подъезд', 'стоянка', 'торец', 'дорога', 'спуск', '16', 'дом', 'шк', '39']""","Need for a road","56.143857","47.180553","2021-10-30 11:06:19","2021-10-30 20:44:23"
"10087","Хочу чтоб поставили новую детскую площадку между Чапаева д 5 и Чапаева д 5к1,детям негде играть.","улица Чапаева","5","""['хотеть', 'поставлять', 'новый', 'детский', 'площадка', 'чапаев', 'д', '5', 'чапаев', 'д', '5к1', 'ребенок', 'негде', 'играть']""","General improvement","56.127854","47.259405","2021-10-30 11:06:19","2021-10-30 20:44:23"
"10088","вдоль гаражей отремонтировать дорогу","улица Хевешская","9","""['вдоль', 'гараж', 'отремонтировать', 'дорога']""","Need for a road","56.105652","47.267514","2021-10-30 11:06:19","2021-10-30 20:44:23"
"10089","Сделать косметический ремонт в подъезде и заменить лифты (в ужасном состоянии)","бульвар А.Миттова","41","""['сделать', 'косметический', 'ремонт', 'подъезд', 'заменять', 'лифт', ' (', 'ужасный', 'состояние']""","General improvement","56.109400","47.188063","2021-10-30 11:06:19","2021-10-30 20:44:23"
"10090","-","улица Коммунистическая","24","""[]""",NULL,NULL,NULL,"2021-10-30 11:06:19","2021-10-30 11:06:19"
"10091","Ремонт труб, заменить на новые. Площадка для детей. Парковка. Вырубить деревья. ","улица Ахазова","6","""['ремонт', 'труба', 'заменять', 'новый', 'площадка', 'ребенок', 'парковка', 'вырубать', 'дерево']""","General improvement","56.143969","47.175387","2021-10-30 11:06:19","2021-10-30 20:44:23"
"10092","Я предлагаю сделать тротуарную дорожку от Речного бульвара до набережной, т.к. дорога после ""Сокола"" заканчивается со стороны Волги и многие люди идут по дороге где ездят машины","бульвар Речной","3 корп. 1","""['предлагать', 'сделать', 'тротуарный', 'дорожка', 'речной', 'бульвар', 'набережная', 'т', 'дорога', ' \""', 'сокол', '\"" ', 'заканчиваться', 'сторона', 'волга', 'многий', 'человек', 'идти', 'дорога', 'ездить', 'машина']""","General improvement",NULL,NULL,"2021-10-30 11:06:19","2021-10-30 20:44:23"
"10093","Прошу установить доп.стоянки для авто около нашего дома","бульвар А.Миттова","25","""['просить', 'устанавливать', 'допы', 'стоянка', 'авто', 'около', 'наш', 'дом']""","General improvement","56.111838","47.191721","2021-10-30 11:06:19","2021-10-30 20:44:23"
"10094","В дворе нет места для мусорных контейнеров. контейнеру катаются по двору, нет парковочных мест для машин, не везде подстригаются переросшие деревью, некачественно отремонтированная крыша дома, подъезд весь в подтеках, плесени, и квартира тоже. В подьезде постоянно горит свет, плохо моют подьезд","бульвар Зеленый","7","""['двор', 'место', 'мусорный', 'контейнер', 'контейнер', 'кататься', 'двор', 'парковочный', 'место', 'машина', 'везде', 'подстригаться', 'перерасти', 'деревивать', 'некачественный', 'отремонтировать', 'крыша', 'дом', 'подъезд', 'весь', 'подтек', 'плесень', 'квартира', 'подьезде', 'постоянно', 'гореть', 'свет', 'плохо', 'мыть', 'подьезд']""","General improvement",NULL,NULL,"2021-10-30 11:06:19","2021-10-30 20:44:23"
"10095","Облагородить игровую площадку для детей. поставить дополнительные качели, горки.
Установить скамейки возле подъездов","улица 10 Пятилетки","13","""['облагораживать', 'игровой', 'площадка', 'ребенок', 'поставлять', 'дополнительный', 'качели', 'горка', 'устанавливать', 'скамейка', 'возле', 'подъезд']""","General improvement",NULL,NULL,"2021-10-30 11:06:19","2021-10-30 20:44:23"
"10096","Дороги и пенсия повышения, парковки","бульвар Речной","4 корп. 3","""['дорога', 'пенсия', 'повышение', 'парковка']""","Need for a road",NULL,NULL,"2021-10-30 11:06:19","2021-10-30 20:44:23"
"10097","Ремонт подъезда и домофона, поставить урну, плитки возле подъезда развалились","бульвар Гидростроителей","2","""['ремонт', 'подъезд', 'домофон', 'поставлять', 'урна', 'плитка', 'возле', 'подъезд', 'разваливаться']""","General improvement",NULL,NULL,"2021-10-30 11:06:19","2021-10-30 20:44:23"
"10098","Прошу установить площадку для детей по адресу М.Залка 11-178","улица Мате Залка","11","""['просить', 'устанавливать', 'площадка', 'ребенок', 'адрес', 'м', 'залка', '11', '-', '178']""","General improvement","56.117458","47.180254","2021-10-30 11:06:19","2021-10-30 20:44:23"
"10099","Благоустройство территории от подземного перехода до нового автовокзала.","проспект Мира","88Б","""['благоустройство', 'территория', 'подземный', 'переход', 'новый', 'автовокзал']""","Need for a road","56.110518","47.263584","2021-10-30 11:06:19","2021-10-30 20:44:23"
"10100","Заняться газонами, ввести штрафы за хождение по ним","проспект Тракторостроителей","71","""['заниматься', 'газон', 'вводить', 'штраф', 'хождение']""","General improvement","56.106075","47.317754","2021-10-30 11:06:19","2021-10-30 20:44:23"
"10101","Сделать дорогу, провести свет, построить детские площадки","улица 1-ая Путепроводная","37 корп. А","""['сделать', 'дорога', 'проводить', 'свет', 'построить', 'детский', 'площадка']""","Need for a road",NULL,NULL,"2021-10-30 11:06:19","2021-10-30 20:44:23"
